shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
28,46.71691,17.38491,11,
28,46.71061,17.38303,12,
28,46.71049,17.38299,13,
28,46.70998,17.38225,14,
28,46.70966,17.38201,15,
28,46.70622,17.381575,16,
29,46.70622,17.381575,1,
29,46.70964,17.38198,2,
29,46.70997,17.38225,3,
29,46.71022,17.38268,4,
29,46.71037,17.38285,5,
29,46.71051,17.38286,6,
29,46.7333,17.3888,7,
29,46.761809,17.395803,8,
29,46.761809,17.395803,9,
29,46.7333,17.3895,10,
29,46.71691,17.38491,11,
29,46.71061,17.38303,12,
29,46.71049,17.38299,13,
29,46.70998,17.38225,14,
29,46.70966,17.38201,15,
29,46.70622,17.381575,16,
30,46.70622,17.381575,1,
30,46.70964,17.38198,2,
30,46.70997,17.38225,3,
30,46.71022,17.38268,4,
30,46.71037,17.38285,5,
30,46.71051,17.38286,6,
30,46.7333,17.3888,7,
30,46.761809,17.395803,8,
30,46.761809,17.395803,9,
30,46.7333,17.3895,10,
30,46.71691,17.38491,11,
30,46.71061,17.38303,12,
30,46.71049,17.38299,13,
30,46.70998,17.38225,14,
30,46.70966,17.38201,15,
30,46.70622,17.381575,16,
32,46.757905,17.255978,1,
32,46.75145,17.27146,2,
32,46.74515,17.29386,3,
32,46.74233,17.31262,4,
32,46.73962,17.32828,5,
32,46.73948,17.3295,6,
32,46.73948,17.33051,7,
32,46.73972,17.33096,8,
32,46.73991,17.33124,9,
32,46.74019,17.33141,10,
32,46.740482,17.331444,11,
32,46.740482,17.331444,12,
32,46.74073,17.33105,13,
32,46.74089,17.33053,14,
32,46.7412,17.32856,15,
32,46.74197,17.32221,16,
32,46.74326,17.31279,17,
32,46.74563,17.29401,18,
32,46.75167,17.27178,19,
32,46.757905,17.255978,20,
33,46.757905,17.255978,1,
33,46.75145,17.27146,2,
33,46.74515,17.29386,3,
33,46.74233,17.31262,4,
33,46.73962,17.32828,5,
33,46.73948,17.3295,6,
33,46.73948,17.33051,7,
33,46.73972,17.33096,8,
33,46.73991,17.33124,9,
33,46.74019,17.33141,10,
33,46.740482,17.331444,11,
33,46.740482,17.331444,12,
33,46.74073,17.33105,13,
33,46.74089,17.33053,14,
33,46.7412,17.32856,15,
33,46.74197,17.32221,16,
33,46.74326,17.31279,17,
33,46.74563,17.29401,18,
33,46.75167,17.27178,19,
33,46.757905,17.255978,20,
34,46.757905,17.255978,1,
34,46.75145,17.27146,2,
34,46.74515,17.29386,3,
34,46.74233,17.31262,4,
34,46.73962,17.32828,5,
34,46.73948,17.3295,6,
34,46.73948,17.33051,7,
34,46.73972,17.33096,8,
34,46.73991,17.33124,9,
34,46.74019,17.33141,10,
34,46.740482,17.331444,11,
34,46.740482,17.331444,12,
34,46.74073,17.33105,13,
34,46.74089,17.33053,14,
34,46.7412,17.32856,15,
34,46.74197,17.32221,16,
34,46.74326,17.31279,17,
34,46.74563,17.29401,18,
34,46.75167,17.27178,19,
34,46.757905,17.255978,20,
35,46.750171,17.355737,1,
35,46.75002,17.35558,2,
35,46.74994,17.35558,3,
35,46.74988,17.35572,4,
35,46.7502,17.35699,5,
35,46.75534,17.36948,6,
35,46.76622,17.38875,7,
35,46.783269,17.422668,8,
35,46.783269,17.422668,9,
35,46.76529,17.39094,10,
35,46.75682,17.37352,11,
35,46.75317,17.36479,12,
35,46.75009,17.35704,13,
35,46.74984,17.3557,14,
35,46.74988,17.35548,15,
35,46.75,17.35549,16,
35,46.750171,17.355737,17,
36,46.78689,17.508899,1,
36,46.7861,17.5099,2,
36,46.78545,17.5105,3,
36,46.78414,17.51046,4,
36,46.78169,17.50728,5,
36,46.77887,17.50161,6,
36,46.77652,17.48522,7,
36,46.776811,17.444054,8,
36,46.776811,17.444054,9,
36,46.77729,17.44442,10,
36,46.77729,17.44549,11,
36,46.77732,17.44751,12,
36,46.77747,17.4853,13,
36,46.77932,17.50141,14,
36,46.78188,17.50684,15,
36,46.78429,17.51017,16,
36,46.78542,17.51027,17,
36,46.7861,17.50978,18,
36,46.78689,17.508899,19,
37,46.78689,17.508899,1,
37,46.7861,17.5099,2,
37,46.78545,17.5105,3,
37,46.78414,17.51046,4,
37,46.78169,17.50728,5,
37,46.77887,17.50161,6,
37,46.77652,17.48522,7,
37,46.776811,17.444054,8,
37,46.776811,17.444054,9,
37,46.77729,17.44442,10,
37,46.77729,17.44549,11,
37,46.77732,17.44751,12,
37,46.77747,17.4853,13,
37,46.77932,17.50141,14,
37,46.78188,17.50684,15,
37,46.78429,17.51017,16,
37,46.78542,17.51027,17,
37,46.7861,17.50978,18,
37,46.78689,17.508899,19,
38,46.78689,17.508899,1,
38,46.7861,17.5099,2,
38,46.78545,17.5105,3,
38,46.78414,17.51046,4,
38,46.78169,17.50728,5,
38,46.77887,17.50161,6,
38,46.77652,17.48522,7,
38,46.776811,17.444054,8,
38,46.776811,17.444054,9,
38,46.77729,17.44442,10,
38,46.77729,17.44549,11,
38,46.77732,17.44751,12,
38,46.77747,17.4853,13,
38,46.77932,17.50141,14,
38,46.78188,17.50684,15,
38,46.78429,17.51017,16,
38,46.78542,17.51027,17,
38,46.7861,17.50978,18,
38,46.78689,17.508899,19,
39,46.825206,17.62916,1,
39,46.81876,17.62238,2,
39,46.81474,17.59199,3,
39,46.81095,17.57891,4,
39,46.80886,17.57324,5,
39,46.806604,17.571684,6,
39,46.806604,17.571684,7,
39,46.80595,17.5723,8,
39,46.80557,17.57328,9,
39,46.80566,17.57453,10,
39,46.80578,17.5759,11,
39,46.81101,17.5932,12,
39,46.818,17.62285,13,
39,46.825206,17.62916,14,
